horario,dia,nombre_materia,claveempleado,,
3,2,3º3ª descarga,2943,,descarga
4,2,3º4ª descarga,2943,,descarga
1,5,3º5ª descarga,2943,,descarga
2,5,3º6ª descarga,2943,,descarga
15,1,3º11ª descarga,2943,,descarga
16,1,3º16ª descarga,2943,,descarga
13,3,3º17ª descarga,2943,,descarga
14,3,3º20ª descarga,2943,,descarga
1,2,1º1ª descarga,8800,,descarga
2,2,1º7ª descarga,8800,,descarga
3,3,1º8ª descarga,8800,,descarga
4,3,1º10ª descarga,8800,,descarga
5,5,1º16ª descarga,8800,,descarga
6,5,1º17ª descarga,8800,,descarga
7,2,1º20ª descarga,8800,,descarga
8,2,1º25ª descarga,8800,,descarga
10,1,3º19ª descarga,9947,,descarga
11,3,3º12ª descarga,1754,,descarga
12,3,3º15ª descarga,1754,,descarga
3,5,3º2ª descarga,8466,,descarga
4,5,3º7ª descarga,8466,,descarga
7,1,3º1ª descarga,6554,,descarga
8,1,3º2ª descarga,6554,,descarga
7,2,3º5ª descarga,6554,,descarga
8,2,3º7ª descarga,6554,,descarga
1,3,3º8ª descarga,6554,,descarga
2,3,3º3ª descarga,6554,,descarga
1,4,3º4ª descarga,6554,,descarga
2,4,3º6ª descarga,6554,,descarga
9,4,3º10ª descarga,1775,,descarga
10,4,3º11ª descarga,1775,,descarga
5,4,3º1ª descarga,1654,,descarga
6,4,3º2ª descarga,1654,,descarga
7,5,3º7ª descarga,1654,,descarga
8,5,3º8ª descarga,1654,,descarga
9,2,3º12ª descarga,1775,,descarga
10,2,3º13ª descarga,1775,,descarga
5,1,preparación semanal,8466,,descarga
6,1,preparación quincenal,8466,,descarga
4,1,3º8ª descarga,4055,,descarga
13,1,3º9ª descarga,4055,,descarga
13,4,2º11ª descarga,1710,,descarga
14,4,2º21ª descarga,1710,,descarga
14,5,2º9ª descarga,7582,,descarga
12,5,2º7ª descarga,1710,,descarga
12,4,2º19ª descarga,8701,,descarga
11,4,2º18ª descarga,8701,,descarga
11,4,2º1ª descarga,1710,,descarga
12,4,2º4ª descarga,1710,,descarga
3,1,"1º8ª descarga	",7955,,descarga
11,1,2º4ª descarga,6881,,descarga
6,2,Preparación quincenal,8455,,descarga
13,5,Preparación quincenal,8455,,descarga
5,4,Preparación semanal,2176,,descarga
6,4,Preparación quincenal,2176,,descarga
5,2,1º10ª descarga,838,,descarga
6,2,1º16ª descarga,838,,descarga
7,3,1º3ª descarga,838,,descarga
8,3,1º4ª descarga,838,,descarga
4,1,1º15ª descarga ,7955,,descarga
6,2,1º14ª descarga,7955,,descarga
5,2,1º3ª descarga,7955,,descarga
8,5,1º21ª descarga,7955,,descarga
7,5,1º20ª descarga,7955,,descarga
5,5,1º18ª descarga,7955,,descarga
6,5,1º19ª descarga,7955,,descarga
11,2,Preparación semanal,2173,,descarga
12,2,Preparación semanal,2173,,descarga
11,3,Preparación semanal,2173,,descarga
12,3,Preparación quincenal,2173,,descarga
3,1,1º16ª descarga,7117,,descarga
4,1,1º14ª descarga,7117,,descarga
5,2,1º15ª descarga,7117,,descarga
6,2,1º18ª descarga,7117,,descarga
5,5,1º19ª descarga,7117,,descarga
6,5,1º21ª descarga,7117,,descarga
13,1,2º8ª descarga,7117,,descarga
13,5,2º4ª descarga,7117,,descarga
2,1,1º4ª descarga,7969,,descarga
7,1,1º25ª descarga,7969,,descarga
8,1,1º17ª descarga,7969,,descarga
7,2,1º11ª descarga,7969,,descarga
8,2,1º10ª descarga,7969,,descarga
5,5,1º6ª descarga,7969,,descarga
6,5,1º22ª descarga,7969,,descarga
11,3,2º3ª descarga,7969,,descarga
14,5,Preparación semanal,406,,descarga
15,1,Preparación Semanal,8882,,descarga
16,1,Preparación semanal,8882,,descarga
