Fecha examen,Cve. Empleado,Dia semana,Aula,Hora inicio,Hora Fin
22/05/2013,8455,3,5,07:00,08:30
22/05/2013,3938,3,6,07:00,08:30
22/05/2013,8991,3,7,07:00,08:30
22/05/2013,2961,3,8,07:00,08:30
22/05/2013,8989,3,9,07:00,08:30
22/05/2013,8461,3,10,07:00,08:30
22/05/2013,8692,3,11,07:00,08:30
22/05/2013,6178,3,12,07:00,08:30
22/05/2013,1234,3,13,07:00,08:30
22/05/2013,8182,3,14,07:00,08:30
22/05/2013,7955,3,15,07:00,08:30
22/05/2013,8182,3,16,07:00,08:30
22/05/2013,6870,3,17,07:00,08:30
22/05/2013,8182,3,18,07:00,08:30
22/05/2013,905,3,19,07:00,08:30
22/05/2013,2796,3,19,07:00,08:30
22/05/2013,8261,3,19,07:00,08:30
22/05/2013,7969,3,20,07:00,08:30
22/05/2013,7763,3,21,07:00,08:30
22/05/2013,2575,3,21,07:00,08:30
22/05/2013,2941,3,21,07:00,08:30
22/05/2013,8182,3,22,07:00,08:30
22/05/2013,8177,3,23,07:00,08:30
22/05/2013,8950,3,24,07:00,08:30
22/05/2013,6341,3,25,07:00,08:30
22/05/2013,1654,3,26,07:00,08:30
22/05/2013,8281,3,27,07:00,08:30
22/05/2013,8281,3,27,07:00,08:30
22/05/2013,6691,3,28,07:00,08:30
13/05/2013,648,1,1,14:00,15:30
13/05/2013,8182,1,2,14:00,15:30
13/05/2013,8882,1,3,14:00,15:30
13/05/2013,1346,1,3,14:00,15:30
13/05/2013,8951,1,3,14:00,15:30
13/05/2013,6881,1,4,14:00,15:30
13/05/2013,6741,1,5,14:00,15:30
13/05/2013,2888,1,6,14:00,15:30
13/05/2013,6526,1,7,14:00,15:30
13/05/2013,1737,1,8,14:00,15:30
13/05/2013,8990,1,8,14:00,15:30
13/05/2013,430,1,8,14:00,15:30
13/05/2013,6515,1,9,14:00,15:30
13/05/2013,7761,1,10,14:00,15:30
13/05/2013,9394,1,11,14:00,15:30
13/05/2013,2780,1,12,14:00,15:30
13/05/2013,2364,1,13,14:00,15:30
13/05/2013,3908,1,14,14:00,15:30
13/05/2013,7379,1,15,14:00,15:30
13/05/2013,6556,1,16,14:00,15:30
13/05/2013,2550,1,17,14:00,15:30
13/05/2013,8701,1,18,14:00,15:30
13/05/2013,8460,1,19,14:00,15:30
13/05/2013,9033,1,20,14:00,15:30
13/05/2013,7474,1,21,14:00,15:30
13/05/2013,7955,1,22,14:00,15:30
14/05/2013,6515,2,1,14:00,15:30
14/05/2013,2888,2,2,14:00,15:30
14/05/2013,6526,2,3,14:00,15:30
14/05/2013,7379,2,4,14:00,15:30
14/05/2013,577,2,5,14:00,15:30
14/05/2013,2550,2,6,14:00,15:30
14/05/2013,7474,2,7,14:00,15:30
14/05/2013,9964,2,8,14:00,15:30
14/05/2013,7972,2,9,14:00,15:30
14/05/2013,2780,2,10,14:00,15:30
14/05/2013,6741,2,11,14:00,15:30
14/05/2013,430,2,12,14:00,15:30
14/05/2013,894,2,12,14:00,15:30
14/05/2013,648,2,12,14:00,15:30
14/05/2013,9033,2,13,14:00,15:30
14/05/2013,8701,2,14,14:00,15:30
14/05/2013,6881,2,15,14:00,15:30
14/05/2013,2173,2,16,14:00,15:30
14/05/2013,8951,2,16,14:00,15:30
14/05/2013,1346,2,16,14:00,15:30
14/05/2013,9138,2,17,14:00,15:30
14/05/2013,2473,2,18,14:00,15:30
14/05/2013,8182,2,19,14:00,15:30
14/05/2013,8182,2,20,14:00,15:30
14/05/2013,3938,2,21,14:00,15:30
14/05/2013,7763,2,22,14:00,15:30
16/05/2013,6526,4,1,14:00,15:30
16/05/2013,430,4,2,14:00,15:30
16/05/2013,894,4,2,14:00,15:30
16/05/2013,2550,4,2,14:00,15:30
16/05/2013,7098,4,3,14:00,15:30
16/05/2013,8951,4,4,14:00,15:30
16/05/2013,2173,4,4,14:00,15:30
16/05/2013,2891,4,4,14:00,15:30
16/05/2013,9138,4,5,14:00,15:30
16/05/2013,9033,4,6,14:00,15:30
16/05/2013,7474,4,7,14:00,15:30
16/05/2013,2888,4,8,14:00,15:30
16/05/2013,7582,4,9,14:00,15:30
16/05/2013,2780,4,10,14:00,15:30
16/05/2013,9394,4,11,14:00,15:30
16/05/2013,8701,4,12,14:00,15:30
16/05/2013,6881,4,13,14:00,15:30
16/05/2013,648,4,14,14:00,15:30
16/05/2013,577,4,15,14:00,15:30
16/05/2013,9964,4,16,14:00,15:30
16/05/2013,1346,4,17,14:00,15:30
16/05/2013,2473,4,18,14:00,15:30
16/05/2013,2406,4,19,14:00,15:30
16/05/2013,3908,4,20,14:00,15:30
16/05/2013,6741,4,21,14:00,15:30
16/05/2013,8466,4,22,14:00,15:30
17/05/2013,2888,5,1,14:00,15:30
17/05/2013,3841,5,2,14:00,15:30
17/05/2013,9138,5,3,14:00,15:30
17/05/2013,7582,5,4,14:00,15:30
17/05/2013,838,5,5,14:00,15:30
17/05/2013,8951,5,6,14:00,15:30
17/05/2013,8882,5,6,14:00,15:30
17/05/2013,6515,5,6,14:00,15:30
17/05/2013,648,5,7,14:00,15:30
17/05/2013,577,5,8,14:00,15:30
17/05/2013,6741,5,9,14:00,15:30
17/05/2013,7761,5,10,14:00,15:30
17/05/2013,7379,5,11,14:00,15:30
17/05/2013,6526,5,12,14:00,15:30
17/05/2013,9964,5,13,14:00,15:30
17/05/2013,3908,5,14,14:00,15:30
17/05/2013,6881,5,15,14:00,15:30
17/05/2013,430,5,16,14:00,15:30
17/05/2013,2550,5,16,14:00,15:30
17/05/2013,894,5,16,14:00,15:30
17/05/2013,1346,5,17,14:00,15:30
17/05/2013,7098,5,18,14:00,15:30
17/05/2013,8701,5,19,14:00,15:30
17/05/2013,9033,5,20,14:00,15:30
17/05/2013,7972,5,21,14:00,15:30
17/05/2013,7955,5,22,14:00,15:30
20/05/2013,648,1,1,14:00,15:30
20/05/2013,8182,1,2,14:00,15:30
20/05/2013,1346,1,3,14:00,15:30
20/05/2013,8882,1,3,14:00,15:30
20/05/2013,8951,1,3,14:00,15:30
20/05/2013,6881,1,4,14:00,15:30
20/05/2013,6741,1,5,14:00,15:30
20/05/2013,2888,1,6,14:00,15:30
20/05/2013,6526,1,7,14:00,15:30
20/05/2013,430,1,8,14:00,15:30
20/05/2013,8990,1,8,14:00,15:30
20/05/2013,1737,1,8,14:00,15:30
20/05/2013,6515,1,9,14:00,15:30
20/05/2013,7761,1,10,14:00,15:30
20/05/2013,9394,1,11,14:00,15:30
20/05/2013,2780,1,12,14:00,15:30
20/05/2013,2364,1,13,14:00,15:30
20/05/2013,3908,1,14,14:00,15:30
20/05/2013,7379,1,15,14:00,15:30
20/05/2013,6556,1,16,14:00,15:30
20/05/2013,2550,1,17,14:00,15:30
