fecha,IdEmp,numAula,dia,hora_ini,hora_fin
20/05/2013,3908,14,1,14:00,15:30
20/05/2013,7379,15,1,14:00,15:30
20/05/2013,6556,16,1,14:00,15:30
20/05/2013,2550,17,1,14:00,15:30
20/05/2013,8701,18,1,14:00,15:30
20/05/2013,8460,19,1,14:00,15:30
20/05/2013,9033,20,1,14:00,15:30
20/05/2013,7474,21,1,14:00,15:30
20/05/2013,7955,22,1,14:00,15:30
21/05/2013,6515,1,2,14:00,15:30
21/05/2013,2888,2,2,14:00,15:30
21/05/2013,6526,3,2,14:00,15:30
21/05/2013,7379,4,2,14:00,15:30
21/05/2013,577,5,2,14:00,15:30
21/05/2013,2550,6,2,14:00,15:30
21/05/2013,7474,7,2,14:00,15:30
21/05/2013,9964,8,2,14:00,15:30
21/05/2013,7972,9,2,14:00,15:30
21/05/2013,2780,10,2,14:00,15:30
21/05/2013,6741,11,2,14:00,15:30
21/05/2013,430,12,2,14:00,15:30
21/05/2013,894,12,2,14:00,15:30
21/05/2013,648,12,2,14:00,15:30
21/05/2013,9033,13,2,14:00,15:30
21/05/2013,8701,14,2,14:00,15:30
21/05/2013,6881,15,2,14:00,15:30
21/05/2013,2173,16,2,14:00,15:30
21/05/2013,8951,16,2,14:00,15:30
21/05/2013,1346,16,2,14:00,15:30
21/05/2013,9138,17,2,14:00,15:30
21/05/2013,2473,18,2,14:00,15:30
21/05/2013,8182,19,2,14:00,15:30
21/05/2013,8182,20,2,14:00,15:30
21/05/2013,3938,21,2,14:00,15:30
21/05/2013,7763,22,2,14:00,15:30
22/05/2013,648,1,3,14:00,15:30
22/05/2013,2473,2,3,14:00,15:30
22/05/2013,6881,3,3,14:00,15:30
22/05/2013,7582,4,3,14:00,15:30
22/05/2013,838,5,3,14:00,15:30
22/05/2013,9033,6,3,14:00,15:30
22/05/2013,8182,7,3,14:00,15:30
22/05/2013,1737,8,3,14:00,15:30
22/05/2013,6515,9,3,14:00,15:30
22/05/2013,2550,10,3,14:00,15:30
22/05/2013,8990,10,3,14:00,15:30
22/05/2013,7379,10,3,14:00,15:30
22/05/2013,7972,11,3,14:00,15:30
22/05/2013,8951,12,3,14:00,15:30
22/05/2013,2364,13,3,14:00,15:30
22/05/2013,7761,14,3,14:00,15:30
22/05/2013,577,15,3,14:00,15:30
22/05/2013,894,16,3,14:00,15:30
22/05/2013,430,17,3,14:00,15:30
22/05/2013,1346,17,3,14:00,15:30
22/05/2013,8882,17,3,14:00,15:30
22/05/2013,9964,18,3,14:00,15:30
22/05/2013,8460,19,3,14:00,15:30
22/05/2013,3908,20,3,14:00,15:30
22/05/2013,9394,21,3,14:00,15:30
22/05/2013,7763,22,3,14:00,15:30
13/05/2013,648,1,1,07:00,08:30
13/05/2013,6827,2,1,07:00,08:30
13/05/2013,9267,3,1,07:00,08:30
13/05/2013,9976,4,1,07:00,08:30
13/05/2013,6554,7,1,07:00,08:30
13/05/2013,2943,8,1,07:00,08:30
13/05/2013,8182,18,1,07:00,08:30
13/05/2013,8182,19,1,07:00,08:30
13/05/2013,6554,5,1,08:30,10:00
13/05/2013,9107,6,1,08:30,10:00
13/05/2013,8182,9,1,08:30,10:00
13/05/2013,8182,10,1,14:00,15:30
13/05/2013,3628,12,1,14:00,15:30
13/05/2013,8182,13,1,14:00,15:30
13/05/2013,8182,14,1,14:00,15:30
13/05/2013,3841,15,1,14:00,15:30
13/05/2013,2797,16,1,14:00,15:30
13/05/2013,8182,17,1,14:00,15:30
13/05/2013,8466,20,1,14:00,15:30
14/05/2013,2943,1,2,07:00,08:30
14/05/2013,2780,2,2,07:00,08:30
14/05/2013,8182,3,2,07:00,08:30
14/05/2013,9976,4,2,07:00,08:30
14/05/2013,8182,5,2,07:00,08:30
14/05/2013,8808,6,2,07:00,08:30
14/05/2013,1291,7,2,07:00,08:30
14/05/2013,9267,8,2,07:00,08:30
14/05/2013,851,9,2,07:00,08:30
14/05/2013,7376,10,2,07:00,08:30
14/05/2013,8182,11,2,07:00,08:30
14/05/2013,8182,12,2,07:00,08:30
14/05/2013,7381,13,2,07:00,08:30
14/05/2013,2797,14,2,07:00,08:30
14/05/2013,8182,15,2,07:00,08:30
14/05/2013,6323,16,2,07:00,08:30
14/05/2013,8182,17,2,07:00,08:30
14/05/2013,9107,18,2,07:00,08:30
14/05/2013,6996,19,2,07:00,08:30
14/05/2013,8466,20,2,07:00,08:30
14/05/2013,2943,1,2,14:00,15:30
14/05/2013,2780,2,2,14:00,15:30
14/05/2013,8182,3,2,14:00,15:30
14/05/2013,9976,4,2,14:00,15:30
14/05/2013,8182,5,2,14:00,15:30
14/05/2013,8808,6,2,14:00,15:30
14/05/2013,1291,7,2,14:00,15:30
14/05/2013,9267,8,2,14:00,15:30
14/05/2013,851,9,2,14:00,15:30
14/05/2013,3628,10,2,14:00,15:30
14/05/2013,8882,10,2,14:00,15:30
14/05/2013,7376,10,2,14:00,15:30
14/05/2013,8182,11,2,14:00,15:30
14/05/2013,8182,12,2,14:00,15:30
14/05/2013,7381,13,2,14:00,15:30
14/05/2013,2797,14,2,14:00,15:30
14/05/2013,8182,15,2,14:00,15:30
14/05/2013,6323,16,2,14:00,15:30
14/05/2013,8182,17,2,14:00,15:30
14/05/2013,9107,18,2,14:00,15:30
14/05/2013,6996,19,2,14:00,15:30
14/05/2013,8466,20,2,14:00,15:30
16/05/2013,6827,1,4,07:00,08:30
16/05/2013,6554,2,4,07:00,08:30
16/05/2013,9107,3,4,07:00,08:30
16/05/2013,1291,4,4,07:00,08:30
16/05/2013,3841,5,4,07:00,08:30
16/05/2013,6996,6,4,07:00,08:30
16/05/2013,9267,7,4,07:00,08:30
16/05/2013,8182,8,4,07:00,08:30
16/05/2013,8182,9,4,07:00,08:30
16/05/2013,851,10,4,07:00,08:30
16/05/2013,6323,11,4,07:00,08:30
16/05/2013,8493,12,4,07:00,08:30
16/05/2013,8182,13,4,07:00,08:30
16/05/2013,8182,14,4,07:00,08:30
16/05/2013,8182,15,4,07:00,08:30
16/05/2013,8882,16,4,07:00,08:30
16/05/2013,3628,17,4,07:00,08:30
16/05/2013,2797,18,4,07:00,08:30
16/05/2013,9398,19,4,07:00,08:30
16/05/2013,7972,20,4,07:00,08:30
16/05/2013,6827,1,4,14:00,15:30
16/05/2013,6554,2,4,14:00,15:30
