id empleado;numAula;semestre;dia;Fecha;hora ini;hora fin
8808;6;5;2;25/09/2012;07:00;08:20
9116;7;5;2;25/09/2012;07:00;08:20
9116;7;5;5;28/10/2012;07:00;08:20
8989;7;5;1;24/09/2012;07:00;08:20
6554;7;5;4;27/10/2012;07:00;08:20
2563;7;5;3;26/09/2012;07:00;08:20
9244;8;5;3;26/09/2012;07:00;08:20
9244;8;5;4;27/10/2012;07:00;08:20
1654;8;5;5;28/10/2012;07:00;08:20
1291;8;5;1;24/09/2012;07:00;08:20
1291;8;5;2;25/09/2012;07:00;08:20
1737;28;1;1;24/09/2012;07:00;08:20
6691;28;1;3;26/09/2012;07:00;08:20
1654;28;1;2;25/09/2012;07:00;08:20
6870;28;1;4;27/10/2012;07:00;08:20
8950;1;1;1;01/10/2012;07:00;08:20
2961;2;1;1;01/10/2012;07:00;08:20
7955;3;1;1;01/10/2012;07:00;08:20
7763;4;1;1;01/10/2012;07:00;08:20
6341;5;1;1;01/10/2012;07:00;08:20
2796;6;1;1;01/10/2012;07:00;08:20
2575;6;1;1;01/10/2012;07:00;08:20
905;6;1;1;01/10/2012;07:00;08:20
9086;7;1;1;01/10/2012;07:00;08:20
8256;9;1;1;01/10/2012;07:00;08:20
7969;10;1;1;01/10/2012;07:00;08:20
3841;11;1;1;01/10/2012;07:00;08:20
8455;12;1;1;01/10/2012;07:00;08:20
2170;13;1;1;01/10/2012;07:00;08:20
8692;14;1;1;01/10/2012;07:00;08:20
2941;15;1;1;01/10/2012;07:00;08:20
7117;16;1;1;01/10/2012;07:00;08:20
2482;18;1;1;01/10/2012;07:00;08:20
8281;19;1;1;01/10/2012;07:00;08:20
9108;19;1;1;01/10/2012;07:00;08:20
6178;20;1;1;01/10/2012;07:00;08:20
6556;21;1;1;01/10/2012;07:00;08:20
6870;22;1;1;01/10/2012;07:00;08:20
3938;23;1;1;01/10/2012;07:00;08:20
6312;26;1;1;01/10/2012;07:00;08:20
6877;27;1;1;01/10/2012;07:00;08:20
